City_ID,City,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed,Current Description
0,Hamilton,39.1834,-84.5333,78.08,41,1,1.01,clear sky
1,Yellowknife,62.456,-114.3525,45.41,74,75,4.0,broken clouds
2,Vaini,-21.2,-175.2,73.56,83,75,3.44,broken clouds
3,Salair,54.2312,85.7972,30.97,99,100,6.78,snow
4,Caxito,-8.5785,13.6643,75.85,82,65,4.18,broken clouds
5,Olafsvik,64.8945,-23.7142,40.41,87,100,42.66,light rain
6,Isla Mujeres,21.2311,-86.731,87.85,69,19,8.25,few clouds
7,Hilo,19.7297,-155.09,80.26,90,90,5.75,light rain
8,Port Keats,-14.25,129.55,75.74,84,99,5.17,overcast clouds
9,Punta Arenas,-53.15,-70.9167,48.31,53,40,18.41,scattered clouds
10,Ushuaia,-54.8,-68.3,46.06,49,40,0.0,scattered clouds
11,Lorengau,-2.0226,147.2712,80.89,82,100,9.24,overcast clouds
12,Kokopo,-4.352,152.2633,76.53,84,94,4.14,light rain
13,Lakes Entrance,-37.8811,147.981,38.16,79,0,4.9,clear sky
14,Ribeira Grande,38.5167,-28.7,66.6,82,75,20.71,broken clouds
15,Kapaa,22.0752,-159.319,82.38,76,75,5.99,light rain
16,Dolores,-36.3132,-57.6792,70.14,69,65,7.09,broken clouds
17,Hithadhoo,-0.6,73.0833,82.81,72,100,17.13,overcast clouds
18,Gat,31.61,34.7642,79.39,100,0,4.9,clear sky
19,New Norfolk,-42.7826,147.0587,38.71,76,17,3.11,few clouds
20,Souillac,-20.5167,57.5167,70.18,94,75,11.5,light rain
21,La Ronge,55.1001,-105.2842,61.05,55,75,3.44,broken clouds
22,Butaritari,3.0707,172.7902,83.71,73,100,16.04,overcast clouds
23,Mahebourg,-20.4081,57.7,70.09,94,75,11.5,light rain
24,Thunder Bay,48.4001,-89.3168,67.98,51,40,9.22,scattered clouds
25,Mopipi,-21.1833,24.8833,76.19,20,3,8.43,clear sky
26,Hirara,24.8,125.2833,82.76,79,10,13.67,clear sky
27,Hobart,-42.8794,147.3294,39.06,90,20,3.0,few clouds
28,Clyde River,70.4692,-68.5914,29.48,81,33,5.86,scattered clouds
29,Sorochinsk,52.4338,53.1583,54.21,64,100,4.52,overcast clouds
30,Atuona,-9.8,-139.0333,78.22,70,5,18.21,clear sky
31,Kruisfontein,-34.0033,24.7314,60.89,94,82,8.99,broken clouds
32,Noumea,-22.2763,166.4572,64.38,65,30,2.84,scattered clouds
33,Mawlaik,23.6333,94.4167,73.98,98,100,1.23,overcast clouds
34,Thompson,55.7435,-97.8558,62.76,51,40,9.22,scattered clouds
35,Busselton,-33.65,115.3333,57.04,90,80,14.63,broken clouds
36,San Patricio,28.017,-97.5169,90.32,36,8,10.83,clear sky
37,Longyearbyen,78.2186,15.6401,39.04,87,75,4.61,light intensity drizzle
38,Ahipara,-35.1667,173.1667,53.2,78,99,6.62,overcast clouds
39,Rikitea,-23.1203,-134.9692,73.58,76,7,20.07,clear sky
40,Grand Gaube,-20.0064,57.6608,70.2,88,32,5.99,light rain
41,Saskylakh,71.9167,114.0833,34.2,99,100,9.98,overcast clouds
42,Lebu,-37.6167,-73.65,51.49,59,41,22.12,scattered clouds
43,Cape Town,-33.9258,18.4232,61.21,82,0,1.99,clear sky
44,Ewa Beach,21.3156,-158.0072,85.01,64,20,17.0,few clouds
45,Tuktoyaktuk,69.4541,-133.0374,33.8,86,90,16.11,light rain
46,Azare,11.6765,10.1948,82.92,40,2,2.84,clear sky
47,Hualmay,-11.0964,-77.6139,67.14,72,30,9.98,scattered clouds
48,Eyl,7.9803,49.8164,79.59,78,91,19.35,overcast clouds
49,Cidreira,-30.1811,-50.2056,67.53,82,1,6.8,clear sky
50,Margate,51.3813,1.3862,62.31,94,88,13.76,overcast clouds
51,Mataura,-46.1927,168.8643,40.48,87,5,2.01,clear sky
52,Porbandar,21.6422,69.6093,80.55,86,42,7.76,scattered clouds
53,Sahuaripa,29.05,-109.2333,93.36,27,1,6.35,clear sky
54,Chumphon,10.3333,98.8333,70.09,99,100,0.54,overcast clouds
55,Payo,-3.7508,103.6372,72.32,98,97,0.27,overcast clouds
56,Geraldton,-28.7667,114.6,57.61,82,40,8.05,scattered clouds
57,Port Alfred,-33.5906,26.891,65.34,88,36,19.28,scattered clouds
58,Mar Del Plata,-38.0023,-57.5575,56.08,64,75,1.99,broken clouds
59,Zyryanka,65.75,150.85,31.77,83,100,5.48,overcast clouds
60,Komsomolskiy,40.4272,71.7189,68.72,26,0,6.91,clear sky
61,Atar,20.5169,-13.0499,100.31,11,39,10.92,scattered clouds
62,Tessalit,20.1986,1.0114,91.58,13,3,11.05,clear sky
63,Rafaela,-31.2503,-61.4867,90.0,23,0,1.99,clear sky
64,Husavik,66.0449,-17.3389,39.11,99,100,28.14,moderate rain
65,Praia Da Vitoria,38.7333,-27.0667,68.25,83,75,20.8,broken clouds
66,Albany,42.6001,-73.9662,69.46,47,7,11.14,clear sky
67,Chuy,-33.6971,-53.4616,65.66,74,1,6.6,clear sky
68,Tasiilaq,65.6145,-37.6368,35.76,69,23,1.92,few clouds
69,Alofi,-19.0595,-169.9187,76.89,65,40,4.61,scattered clouds
70,San Juan,-31.5375,-68.5364,85.73,19,0,11.56,clear sky
71,Bredasdorp,-34.5322,20.0403,60.28,88,1,5.75,clear sky
72,Avarua,-21.2078,-159.775,78.85,69,75,3.44,broken clouds
73,Domoni,-12.2569,44.5319,74.48,77,8,0.76,clear sky
74,Jamestown,42.097,-79.2353,67.32,56,90,5.99,overcast clouds
75,Sioux Lookout,50.1001,-91.917,64.78,48,40,9.22,scattered clouds
76,Salalah,17.0151,54.0924,82.49,89,20,6.91,few clouds
77,Carnarvon,-24.8667,113.6333,59.07,82,0,6.91,clear sky
78,Saint-Augustin,51.226,-58.6502,57.16,98,100,4.5,overcast clouds
79,Grindavik,63.8424,-22.4338,44.55,81,75,28.77,broken clouds
80,Flinders,-34.5833,150.8552,51.19,86,92,1.01,overcast clouds
81,Khatanga,71.9667,102.5,31.8,86,100,8.39,overcast clouds
82,Dunedin,-45.8742,170.5036,39.79,83,8,4.18,clear sky
83,Georgetown,5.4112,100.3354,76.95,94,40,3.44,scattered clouds
84,Zhigansk,66.7697,123.3711,30.52,95,30,17.11,scattered clouds
85,Yulara,-25.2406,130.9889,66.04,22,51,0.0,broken clouds
86,Saint Joseph,39.7686,-94.8466,92.91,27,1,23.02,clear sky
87,Byron Bay,-28.65,153.6167,58.89,65,100,11.21,overcast clouds
88,Nikolskoye,59.7035,30.7861,49.89,95,93,4.83,overcast clouds
89,Alice Springs,-23.7,133.8833,67.55,17,4,9.22,clear sky
90,Lasa,46.6166,10.7002,61.68,96,100,1.83,light rain
91,Qaanaaq,77.484,-69.3632,20.32,66,20,7.45,few clouds
92,Saint-Philippe,-21.3585,55.7679,69.39,88,58,13.78,light rain
93,Ondjiva,-17.0667,15.7333,74.73,12,1,5.64,clear sky
94,Aklavik,68.2191,-135.0107,32.72,81,96,5.75,overcast clouds
95,Bluff,-46.6,168.3333,40.8,79,28,8.88,scattered clouds
96,Cabo Rojo,18.0866,-67.1457,88.97,78,20,1.01,few clouds
97,Tual,-5.6667,132.75,80.62,82,100,13.38,overcast clouds
98,Moron,-34.6534,-58.6198,79.81,49,49,5.01,scattered clouds
99,Cusuna,15.85,-85.2333,84.07,72,91,6.02,overcast clouds
100,Keti Bandar,24.1447,67.4497,82.81,78,100,7.76,overcast clouds
101,Yar-Sale,66.8333,70.8333,33.01,84,0,7.18,clear sky
102,Uruzgan,32.8333,66.0,66.11,12,0,3.02,clear sky
103,Vao,-22.6667,167.4833,67.53,68,100,4.52,overcast clouds
104,Tautira,-17.7333,-149.15,84.22,76,7,13.8,clear sky
105,Sinnamary,5.3833,-52.95,84.9,68,9,13.65,clear sky
106,Barrow,71.2906,-156.7887,23.02,86,90,9.22,overcast clouds
107,Provideniya,64.3833,-173.3,37.51,81,75,8.95,light rain
108,Riyadh,24.6877,46.7219,84.34,24,96,11.23,overcast clouds
109,Upernavik,72.7868,-56.1549,25.14,63,0,1.97,clear sky
110,Adrar,20.5022,-10.0711,98.71,11,26,9.84,scattered clouds
111,Rio Grande,-32.035,-52.0986,69.91,79,2,7.7,clear sky
112,Cherskiy,68.75,161.3,32.41,99,100,19.24,snow
113,Changping,40.2186,116.2197,64.51,97,10,4.27,clear sky
114,Kahului,20.8947,-156.47,86.02,77,40,28.77,scattered clouds
115,Pisco,-13.7,-76.2167,68.05,64,0,19.57,clear sky
116,Ventspils,57.3894,21.5606,42.73,100,21,0.0,fog
117,Dikson,73.5069,80.5464,36.28,85,100,21.9,overcast clouds
118,Agadir,30.4202,-9.5982,72.05,55,0,2.21,clear sky
119,Luderitz,-26.6481,15.1594,58.57,91,86,13.13,overcast clouds
120,Sayaxche,16.5167,-90.1667,85.71,68,100,3.15,overcast clouds
121,El Jicaro,14.9167,-89.9,94.53,75,78,4.12,broken clouds
122,Khash,28.2211,61.2158,72.43,11,6,1.1,clear sky
123,Cortez,37.3489,-108.5859,76.42,39,1,13.8,clear sky
124,Voh,-20.9667,164.7,68.85,65,65,3.76,broken clouds
125,Takoradi,4.8845,-1.7554,75.04,91,100,7.02,overcast clouds
126,Doha,25.2867,51.5333,89.58,36,39,11.5,dust
127,Strezhevoy,60.7333,77.5889,31.98,90,7,6.98,clear sky
128,Kloulklubed,7.0419,134.2556,83.28,77,47,10.78,scattered clouds
129,Saint-Joseph,-21.3667,55.6167,68.38,84,47,13.33,light rain
130,Kazachinskoye,57.6953,93.2761,29.64,97,19,3.51,few clouds
131,Haines Junction,60.7522,-137.5108,39.15,65,100,2.3,light rain
132,Bilibino,68.0546,166.4372,26.92,97,100,13.15,snow
133,Khandyga,62.6667,135.6,30.87,92,17,2.91,few clouds
134,Three Hills,51.7001,-113.2686,77.49,27,88,10.36,overcast clouds
135,Matamba,-8.9833,33.9667,56.08,62,38,5.55,scattered clouds
136,Manado,1.487,124.8455,75.97,94,40,2.3,moderate rain
137,Inhambane,-23.865,35.3833,71.89,91,0,9.17,clear sky
138,Lagoa,39.05,-27.9833,67.03,70,100,23.67,overcast clouds
139,Magadi,12.9667,77.2333,71.94,96,100,6.17,overcast clouds
140,Tuy Hoa,13.0833,109.3,76.28,91,26,3.96,scattered clouds
141,Manggar,-2.8833,108.2667,80.35,78,92,5.06,overcast clouds
142,Arraial Do Cabo,-22.9661,-42.0278,75.16,60,0,17.27,clear sky
143,Erzin,36.9559,36.2,73.0,31,0,3.15,clear sky
144,Rincon,32.296,-81.2354,86.86,45,20,5.75,few clouds
145,Dingle,10.9995,122.6711,75.61,92,43,2.48,scattered clouds
146,Thinadhoo,0.5333,72.9333,81.82,76,100,17.07,overcast clouds
147,Oussouye,12.485,-16.5469,84.38,84,100,6.58,light rain
148,Akdepe,42.0551,59.3788,53.69,61,4,12.01,clear sky
149,Sisimiut,66.9395,-53.6735,30.36,48,0,7.09,clear sky
150,Cascais,38.6979,-9.4215,68.05,70,20,1.01,few clouds
151,Saryg-Sep,51.5,95.6,33.01,97,100,3.74,light snow
152,Sitka,57.0531,-135.33,53.49,58,40,5.75,scattered clouds
153,Meulaboh,4.1363,96.1285,74.26,93,100,6.2,overcast clouds
154,Hispania,5.7993,-75.9072,92.82,54,95,2.64,overcast clouds
155,Chokurdakh,70.6333,147.9167,27.79,81,100,14.03,overcast clouds
156,Urumqi,43.801,87.6005,49.15,40,0,2.24,clear sky
157,Nongan,44.382,125.1685,66.6,90,100,12.71,light rain
158,Ligayan,4.6533,119.4706,83.21,73,35,5.68,scattered clouds
159,Bengkulu,-3.8004,102.2655,75.42,89,100,4.47,overcast clouds
160,Azle,32.8951,-97.5459,93.11,33,20,3.0,few clouds
161,Biankouma,7.7391,-7.6138,69.82,98,100,3.33,light rain
162,Dwarka,22.2394,68.9678,81.52,85,23,11.07,few clouds
163,Waddan,29.1614,16.139,75.85,35,1,7.2,clear sky
164,Kaabong,3.4836,34.1492,68.74,57,18,7.78,few clouds
165,Bhimunipatnam,17.8833,83.4333,76.51,93,100,13.18,moderate rain
166,Hermanus,-34.4187,19.2345,60.8,90,20,6.85,few clouds
167,Tuatapere,-46.1333,167.6833,40.82,73,6,4.07,clear sky
168,Ranong,9.9658,98.6348,76.24,89,100,4.12,overcast clouds
169,Agirish,61.9247,63.0231,31.62,85,100,6.35,overcast clouds
170,Luanda,-8.8368,13.2343,75.2,83,20,5.75,few clouds
171,East London,-33.0153,27.9116,67.06,79,43,15.95,scattered clouds
172,San Salvo,42.0433,14.7272,72.39,79,87,2.42,overcast clouds
173,Isangel,-19.55,169.2667,73.51,73,59,2.3,broken clouds
174,Castro,-24.7911,-50.0119,66.54,74,63,2.04,broken clouds
175,Inuvik,68.3499,-133.7218,32.76,80,75,4.61,broken clouds
176,Pevek,69.7008,170.3133,30.38,89,100,17.6,light snow
177,Umea,63.8284,20.2597,49.93,100,90,4.61,overcast clouds
178,Monroe,43.1501,-77.6831,69.82,47,75,18.41,broken clouds
179,Cabo San Lucas,22.8909,-109.9124,95.5,62,20,12.66,few clouds
180,Valdivia,-39.8142,-73.2459,57.29,52,10,1.74,clear sky
181,Talnakh,69.4865,88.3972,32.68,56,37,7.78,scattered clouds
182,Puerto Del Rosario,28.5004,-13.8627,74.95,78,20,12.66,few clouds
183,Areia Branca,-4.9561,-37.1369,86.2,63,55,16.17,broken clouds
184,Touros,-5.1989,-35.4608,81.5,81,4,16.96,clear sky
185,Hasaki,35.7333,140.8333,64.8,68,5,15.43,clear sky
186,Port Lincoln,-34.7333,135.8667,55.92,65,92,13.0,overcast clouds
187,Hobyo,5.3505,48.5268,77.92,79,41,26.98,scattered clouds
188,Richards Bay,-28.783,32.0377,65.07,92,91,4.72,overcast clouds
189,Faanui,-16.4833,-151.75,79.75,74,16,14.14,few clouds
190,Arlit,18.7369,7.3853,90.75,13,0,13.02,clear sky
191,Klaksvik,62.2266,-6.589,50.92,86,100,21.74,overcast clouds
192,Lompoc,34.6391,-120.4579,69.94,78,90,8.05,overcast clouds
193,Port-Gentil,-0.7193,8.7815,78.76,83,75,10.36,broken clouds
194,Howard Springs,-12.497,131.047,75.81,95,83,3.38,broken clouds
195,Uri,34.0833,74.0333,64.45,93,2,0.63,clear sky
196,Victoria,22.2855,114.1577,84.33,80,8,1.01,clear sky
197,Pacific Grove,36.6177,-121.9166,77.16,77,40,8.99,scattered clouds
198,General Roca,-39.0333,-67.5833,61.2,16,76,0.63,broken clouds
199,Port Elizabeth,-33.918,25.5701,63.1,100,90,10.36,overcast clouds
200,Baherden,38.4362,57.4316,62.17,63,32,3.51,scattered clouds
201,Wagar,16.1525,36.2032,85.28,52,7,11.63,clear sky
202,Hofn,64.2539,-15.2082,44.55,73,60,4.03,broken clouds
203,San Policarpo,12.1791,125.5072,77.65,87,100,5.53,overcast clouds
204,Danilovka,50.3557,44.1168,46.15,89,15,16.49,few clouds
205,Columbus,39.9612,-82.9988,77.88,36,20,1.99,few clouds
206,Severo-Kurilsk,50.6789,156.125,48.99,91,97,11.18,overcast clouds
207,Luganville,-15.5333,167.1667,76.96,84,97,9.28,overcast clouds
208,Katsuura,35.1333,140.3,66.31,78,21,14.76,few clouds
209,Kaitangata,-46.2817,169.8464,42.03,67,13,4.83,few clouds
210,Guerrero Negro,27.9769,-114.0611,75.63,59,5,16.35,clear sky
211,Fort Nelson,58.8053,-122.7002,49.59,46,75,6.91,broken clouds
212,Asau,46.4333,26.4,60.28,89,1,2.01,clear sky
213,Marabba,12.35,32.1833,75.52,72,100,3.56,overcast clouds
214,Iqaluit,63.7506,-68.5145,35.33,80,75,18.01,broken clouds
215,Matamoros,25.5333,-103.25,87.12,33,100,4.56,overcast clouds
216,Balakhta,55.38,91.6,37.15,97,100,2.01,overcast clouds
217,Sao Filipe,14.8961,-24.4956,79.18,77,30,5.06,scattered clouds
218,Shimoda,34.6667,138.95,64.11,84,25,15.21,scattered clouds
219,Oistins,13.0667,-59.5333,87.89,66,40,9.22,scattered clouds
220,Vila Franca Do Campo,37.7167,-25.4333,71.2,88,100,6.85,overcast clouds
221,Korla,41.7597,86.1469,62.76,27,0,4.83,clear sky
222,Hereford,52.0568,-2.7148,63.75,63,100,12.93,overcast clouds
223,Fez,34.0372,-4.9998,75.45,40,0,5.75,clear sky
224,Puerto Ayora,-0.7393,-90.3518,80.56,83,79,9.84,broken clouds
225,Banda Aceh,5.5577,95.3222,78.49,82,100,14.0,overcast clouds
226,Qostanay,53.1667,63.5833,46.98,33,100,23.53,overcast clouds
227,Muros,42.7762,-9.0603,67.15,90,99,15.9,overcast clouds
228,Vysokogornyy,50.1167,139.15,44.01,85,100,1.74,overcast clouds
229,Oudtshoorn,-33.5907,22.2014,53.96,86,84,3.29,broken clouds
230,Sobolevo,54.4299,31.8996,44.4,94,27,10.92,scattered clouds
231,Rabat,33.9911,-6.8401,70.16,85,55,5.75,broken clouds
232,Kamenka,51.3223,42.7678,47.05,90,72,14.18,broken clouds
233,Saint George,37.1041,-113.5841,90.43,27,1,1.01,clear sky
234,Airai,-8.9266,125.4092,57.69,70,52,2.44,broken clouds
235,Mana,5.6592,-53.7767,82.98,76,14,11.1,few clouds
236,Shache,38.4167,77.2406,66.49,22,0,6.69,clear sky
237,Kuytun,54.3419,101.5036,30.06,72,20,2.51,few clouds
238,Olga,43.7444,135.2892,54.3,95,18,2.39,few clouds
239,Khorixas,-20.3667,14.9667,68.7,37,0,3.38,clear sky
240,Caravelas,-17.7125,-39.2481,75.18,64,100,8.68,overcast clouds
241,Leningradskiy,69.3833,178.4167,23.52,79,94,8.55,overcast clouds
242,Nanakuli,21.3906,-158.1547,85.03,69,40,13.8,scattered clouds
243,Beaverlodge,55.2166,-119.4361,60.15,59,100,5.82,overcast clouds
244,Codrington,-38.2667,141.9667,43.54,78,96,7.74,overcast clouds
245,Portobelo,9.55,-79.65,90.01,82,95,2.89,overcast clouds
246,Linfen,36.0889,111.5189,62.51,92,98,2.84,overcast clouds
247,Yining,29.0361,114.5636,76.14,88,14,1.16,light rain
248,Vila,42.0304,-8.1588,56.34,90,100,6.04,overcast clouds
249,Kodiak,57.79,-152.4072,49.51,53,1,18.41,clear sky
250,Esperance,-33.8667,121.9,53.44,89,66,16.82,broken clouds
251,Moerai,-22.4333,-151.3333,75.97,86,92,11.52,overcast clouds
252,Coquimbo,-29.9533,-71.3436,62.33,72,0,13.8,clear sky
253,Smithers,54.7804,-127.1743,61.12,72,75,6.91,broken clouds
254,Alta Floresta,-9.8756,-56.0861,89.42,55,40,4.61,scattered clouds
255,Bambous Virieux,-20.3428,57.7575,70.05,94,75,11.5,light rain
256,Mulchen,-37.7167,-72.2333,62.46,37,23,8.12,few clouds
257,Torbay,47.6666,-52.7314,60.28,70,90,10.36,overcast clouds
258,Broome,42.2506,-75.833,67.57,54,20,8.01,few clouds
259,Tambopata,-12.7333,-69.1833,94.89,46,20,5.75,few clouds
260,Lata,40.1629,-8.3327,65.91,93,100,0.94,overcast clouds
261,Banjar,-8.19,114.9675,78.66,89,45,6.08,scattered clouds
262,Jijiga,9.35,42.8,67.51,61,74,6.04,broken clouds
263,Basco,20.4487,121.9702,84.29,77,10,16.58,clear sky
264,Teavaro,-17.5,-149.7667,83.68,66,20,16.11,few clouds
265,Kirakira,-10.4544,161.9205,80.67,82,90,8.57,overcast clouds
266,Tomatlan,19.9333,-105.25,87.04,65,70,7.87,broken clouds
267,Galmaarden,50.7517,3.9933,64.78,94,30,6.53,light rain
268,Porto Walter,-8.2686,-72.7439,86.09,53,99,2.95,overcast clouds
269,Ostrovnoy,68.0531,39.5131,44.91,91,97,10.67,overcast clouds
270,Northam,51.0333,-4.2167,64.15,93,100,20.49,overcast clouds
271,Ancud,-41.8697,-73.8203,53.13,62,13,8.37,few clouds
272,Hami,42.8,93.45,61.79,22,0,5.64,clear sky
273,Nelson Bay,-32.7167,152.15,53.96,90,12,8.08,few clouds
274,Portland,45.5234,-122.6762,73.56,56,20,3.0,few clouds
275,Pedasi,7.5333,-80.0333,81.7,77,100,2.95,overcast clouds
276,Namibe,-15.1961,12.1522,62.4,85,27,3.24,scattered clouds
277,Comodoro Rivadavia,-45.8667,-67.5,53.46,26,0,9.22,clear sky
278,Lanzhou,36.0564,103.7922,49.28,57,100,2.08,overcast clouds
279,Progreso,21.2833,-89.6667,94.1,67,8,14.25,clear sky
280,Freeport,40.6576,-73.5832,75.29,41,1,13.0,clear sky
281,Pangnirtung,66.1451,-65.7125,33.8,80,20,8.05,few clouds
282,Ilirska Bistrica,45.5697,14.2408,64.94,95,100,2.59,overcast clouds
283,Camacha,33.0833,-16.3333,69.22,68,20,2.3,few clouds
284,Atbasar,51.8,68.3333,41.97,38,100,25.55,overcast clouds
285,Tornio,65.8481,24.1466,48.22,92,80,11.03,broken clouds
286,Zalantun,48.0,122.7167,52.54,93,40,4.32,scattered clouds
287,Sistranda,63.7256,8.834,58.96,87,98,6.17,overcast clouds
288,Ayagoz,47.9714,80.4392,34.97,43,32,15.46,scattered clouds
289,Taoudenni,22.6783,-3.9836,97.05,8,6,9.84,clear sky
290,Whitehorse,60.7161,-135.0538,38.17,74,90,5.01,light rain
291,Avera,33.194,-82.5271,83.71,37,3,1.32,clear sky
292,Koslan,63.4564,48.8989,42.08,94,100,6.42,overcast clouds
293,Ambilobe,-13.2,49.05,69.19,70,4,3.58,clear sky
294,Rawson,-43.3002,-65.1023,57.49,22,9,14.76,clear sky
295,Ola,59.5833,151.2833,38.46,65,57,10.54,broken clouds
296,Bethel,41.3712,-73.414,72.01,53,40,1.01,scattered clouds
297,Kaoma,-14.7833,24.8,73.06,20,91,3.69,overcast clouds
298,Bubaque,11.2833,-15.8333,83.35,75,100,10.16,overcast clouds
299,Madang,-5.2246,145.7966,76.87,92,100,2.06,overcast clouds
300,Tura,25.5198,90.2201,76.44,84,73,2.66,broken clouds
301,Myrtle Beach,33.6891,-78.8867,83.1,56,1,8.05,clear sky
302,Najran,17.4924,44.1277,79.45,20,7,3.58,clear sky
303,Itaituba,-4.2761,-55.9836,93.36,55,20,1.25,few clouds
304,Morondava,-20.2833,44.2833,73.85,76,1,7.29,clear sky
305,Boende,-0.2167,20.8667,69.91,96,76,3.27,broken clouds
306,Acari,-15.4311,-74.6158,72.3,60,16,7.96,few clouds
307,Arcata,40.8665,-124.0828,68.2,70,90,3.0,overcast clouds
308,Sibolga,1.7427,98.7792,75.81,93,100,4.65,very heavy rain
309,Sal Rei,16.1833,-22.9167,79.36,78,45,12.68,scattered clouds
310,Santona,43.4439,-3.4576,68.43,79,98,5.41,overcast clouds
311,Union,40.6334,-74.2663,75.11,42,1,16.11,clear sky
312,Ponta Do Sol,32.6667,-17.1,72.72,73,59,2.01,broken clouds
313,Zunyi,27.6867,106.9072,67.35,89,0,1.52,clear sky
314,Eirunepe,-6.6603,-69.8736,83.26,66,97,2.71,overcast clouds
315,Tezu,27.9167,96.1667,77.45,72,54,4.21,broken clouds
316,Kangaatsiaq,68.3065,-53.4641,24.26,49,0,10.51,clear sky
317,Jaguarao,-32.5661,-53.3758,65.44,76,1,7.83,clear sky
318,King City,36.2127,-121.126,65.28,19,10,6.2,clear sky
319,Kununurra,-15.7667,128.7333,67.98,77,83,3.44,broken clouds
320,Nizhniy Kuranakh,58.8353,125.4869,39.47,87,100,5.84,light rain
321,Kashi,39.4547,75.9797,67.21,26,0,13.42,clear sky
322,Kysyl-Syr,63.8986,122.7617,29.48,88,100,7.65,overcast clouds
323,Harnosand,62.6323,17.9379,48.99,86,78,8.5,broken clouds
324,Dakar,14.6937,-17.4441,82.53,89,0,2.3,clear sky
325,Belaya Gora,68.5333,146.4167,32.41,97,100,17.56,light snow
326,Nara,34.6851,135.8049,67.32,74,94,5.32,overcast clouds
327,Shahr-E Babak,30.1165,55.1186,73.17,10,0,14.5,clear sky
328,Luena,-11.7833,19.9167,65.03,48,50,4.07,scattered clouds
329,Mediesu Aurit,47.7833,23.15,57.78,81,40,4.16,scattered clouds
330,Olkhovatka,50.2831,39.2872,48.16,80,80,15.1,broken clouds
331,Gawler,-34.6,138.7333,58.24,42,100,10.22,overcast clouds
332,Ilulissat,69.2167,-51.1,21.22,49,0,3.44,clear sky
333,Kuching,1.55,110.3333,77.22,94,40,2.3,scattered clouds
334,Brae,60.3964,-1.353,55.31,96,100,22.86,overcast clouds
335,Mount Isa,-20.7333,139.5,67.77,18,0,1.14,clear sky
336,Sarab,38.6066,44.9883,56.26,35,0,2.42,clear sky
337,Sao Joao Da Barra,-21.6403,-41.0511,75.29,80,2,19.62,clear sky
338,Guiyang,26.5833,106.7167,64.89,88,20,2.24,light rain
339,Fallon,39.4735,-118.7774,87.42,12,1,0.0,clear sky
340,Batagay-Alyta,67.8006,130.4114,23.63,87,60,4.23,broken clouds
